 campaign_id,campaign_company,campaign_name,campaign_type,marketing_channel,ad_format,date,impressions,clicks,conversions,  ad_spend  ,device_type,country,audience_segment, cost_per_click , cost_per_mille ,ctr,conversion_rate,cpc_effectiveness_score,roi_score,click_to_conversion_ratio,quality_score,engagement_to_spend_ratio,cost_efficiency_index,week_number,month
37,Vivo,Winter Deals,Engagement,Google,Story,25-12-2024,45282,771,1352,795.33,Desktop,India,Lookalike Audience,1.03,17.56,0.017026633,1.753566796,0.960101614,175.3566796,0.569844789,2.82,0.969408925,0.587827051,52,12
38,OnePlus,Diwali Mega Offers,Engagement,Facebook,Text,11-02-2024,27579,7012,1754,742.58,Tablet,Australia,Cold Audience,0.11,26.93,0.254251423,0.250142613,8.628030023,25.01426127,3.995441595,2.79,9.442753643,0.423122507,6,2
39,Realme,Black Friday Campaign,Remarketing,Instagram,Story,22-08-2024,44999,1652,795,685.57,Mobile,USA,Returning Users,0.41,15.24,0.036711927,0.481234867,2.35297469,48.12348668,2.075376884,2.17,2.409673702,0.861268844,34,8
40,Swiggy,Brand Awareness Push,Conversions,Google,Text,05-12-2024,48052,5109,1430,653.36,Tablet,Germany,Returning Users,0.13,13.6,0.106322317,0.279898219,7.252466463,27.98982188,3.570230608,6.17,7.819578793,0.456575821,49,12
41,Zomato,New Product Launch,Conversions,Facebook,Text,17-04-2024,25141,3126,244,987.81,Tablet,UK,High Intent,0.32,39.29,0.12433873,0.078055022,3.067502723,7.805502239,12.75918367,1.42,3.164576184,4.031877551,16,4
42,Uber,Holiday Sale Blast,Awareness,Google,Text,21-12-2024,88292,8392,887,705.9,Mobile,Australia,New Users,0.08,8,0.095048249,0.105695901,10.62520574,10.56959009,9.45045045,5.75,11.88836946,0.794932432,51,12
43,Ola,New Product Launch,App Installs,Pinterest,Carousel,26-06-2024,81503,7534,1804,754.44,Desktop,Germany,Cold Audience,0.1,9.26,0.092438315,0.239447836,9.079515052,23.94478365,4.173961219,2.73,9.986214941,0.417972299,26,6
44,Blinkit,Lead Generation Boost,Traffic,Instagram,Text,12-08-2024,21121,6623,1726,744.5,Desktop,Germany,Lookalike Audience,0.11,35.25,0.313574168,0.260606976,8.169180862,26.06069757,3.834973943,6.29,8.895903291,0.431094383,33,8
45,BigBasket,Winter Deals,Traffic,Google,Story,14-10-2024,85577,5098,1134,209.83,Desktop,Germany,Returning Users,0.04,2.45,0.059572081,0.222440173,19.54679652,22.24401726,4.491629956,1.97,24.29585855,0.184872247,42,10
46,Spotify,Brand Awareness Push,Awareness,Instagram,Image,03-10-2024,65726,6686,1969,785.16,Tablet,India,High Intent,0.12,11.95,0.101725345,0.294495962,7.847233633,29.44959617,3.393908629,5.35,8.515461817,0.398558376,40,10
47,Meesho App,Diwali Mega Offers,Sales,Pinterest,Video,16-04-2024,78586,9749,398,127.16,Mobile,Germany,High Intent,0.01,1.62,0.124055175,0.0408247,43.39639439,4.082469997,24.43358396,3.57,76.66719094,0.318696742,16,4
48,Paytm,Spring Collection Launch,Engagement,Facebook,Story,30-08-2024,75537,6123,516,602.43,Mobile,Australia,New Users,0.1,7.98,0.081059613,0.084272415,9.226109755,8.427241548,11.84332689,1.21,10.16383646,1.165241779,35,8
49,PhonePe,Summer Clearance,Awareness,Instagram,Video,29-10-2024,54764,9345,1718,681.23,Desktop,USA,Lookalike Audience,0.07,12.44,0.170641297,0.183841627,12.06304539,18.38416265,5.436300175,4.56,13.71783392,0.396294357,44,10
50,Amazon,Lead Generation Boost,Engagement,Instagram,Video,25-02-2024,38476,3009,604,934.89,Tablet,UK,Cold Audience,0.31,24.3,0.078204595,0.20073114,3.118199341,20.07311399,4.973553719,4,3.218560472,1.545272727,8,2
51,Walmart,New Product Launch,Awareness,YouTube,Video,07-11-2024,4022,1635,456,737.16,Mobile,Germany,New Users,0.45,183.28,0.406514172,0.278899083,2.169845125,27.88990826,3.577680525,2.85,2.217971675,1.613041575,45,11
52,Target,End of Season Sale,Traffic,Pinterest,Carousel,24-02-2024,81474,8518,1630,524.24,Desktop,UK,High Intent,0.06,6.43,0.10454869,0.191359474,13.97722425,19.13594741,5.222562845,6.84,16.24828323,0.32142244,8,2
53,eBay,Spring Collection Launch,Awareness,Google,Carousel,04-10-2024,92647,4337,1604,557.03,Mobile,Canada,Cold Audience,0.13,6.01,0.046812093,0.369840904,7.223517655,36.98409039,2.702180685,6.32,7.785936126,0.34705919,40,10
54,AliExpress,Black Friday Campaign,Sales,Pinterest,Image,10-03-2024,65209,7720,87,595.69,Tablet,Australia,Returning Users,0.08,9.14,0.118388566,0.01126943,11.47290047,1.126943005,87.72727273,3.12,12.95976095,6.769204545,10,3
55,Alibaba,Lead Generation Boost,Leads,Pinterest,Image,13-11-2024,76401,8811,817,581.62,Mobile,Canada,Lookalike Audience,0.07,7.61,0.115325716,0.092725003,13.15604796,9.272500284,10.77139364,3.46,15.1490664,0.711026895,46,11
56,Etsy,Festival Discount Drive,Conversions,YouTube,Carousel,01-09-2024,63941,9201,259,937.41,Mobile,India,Lookalike Audience,0.1,14.66,0.143898281,0.028149114,8.938042781,2.814911423,35.38846154,6.31,9.815342273,3.605423077,35,9
57,Shopee,Diwali Mega Offers,Leads,Google,Video,27-03-2024,67259,8247,199,960.2,Mobile,Canada,New Users,0.12,14.28,0.122615561,0.024129987,7.909501568,2.412998666,41.235,4.79,8.588835659,4.801,13,3
58,Rakuten,Flash Sale Weekend,Sales,Google,Carousel,10-01-2024,83942,2533,1955,914.76,Tablet,Canada,Cold Audience,0.36,10.9,0.030175597,0.771812081,2.694422874,77.18120805,1.294989775,4.56,2.769032314,0.467668712,2,1
59,Flipkart,Brand Awareness Push,App Installs,Instagram,Carousel,07-08-2024,82707,8729,269,376.58,Tablet,Australia,High Intent,0.04,4.55,0.105541248,0.030816818,18.81777222,3.08168175,32.32962963,5.34,23.17966966,1.394740741,32,8
60,Myntra,Cyber Monday Deals,Conversions,Instagram,Text,07-12-2024,50989,7176,1781,715.62,Mobile,Australia,Returning Users,0.1,14.03,0.140736237,0.248188406,9.113769717,24.81884058,4.026936027,6.73,10.02766832,0.401582492,49,12
61,Ajio,Festival Discount Drive,Remarketing,LinkedIn,Carousel,21-10-2024,43815,8096,663,804.06,Tablet,Canada,Returning Users,0.1,18.35,0.184776903,0.081892292,9.147815869,8.189229249,12.19277108,5.48,10.06890033,1.210933735,43,10
62,Meesho,Winter Deals,Leads,Pinterest,Image,07-04-2024,33651,796,1420,491.41,Tablet,Germany,High Intent,0.62,14.6,0.023654572,1.783919598,1.594008451,178.3919598,0.560168895,2.15,1.619828656,0.345819845,14,4
63,Nykaa,Spring Collection Launch,Traffic,Google,Video,09-04-2024,10324,6017,1993,253.25,Desktop,Germany,Cold Audience,0.04,24.53,0.582816738,0.331228187,19.19788144,33.12281868,3.017552658,7.93,23.75913129,0.127006018,15,4
64,Tata Cliq,Back to School Promo,Remarketing,Instagram,Story,14-06-2024,96173,5065,1889,675.74,Desktop,USA,Returning Users,0.13,7.03,0.052665509,0.372951629,6.972838282,37.29516288,2.67989418,1.58,7.49548643,0.357534392,24,6
65,H&M,Back to School Promo,App Installs,YouTube,Text,22-02-2024,23863,2486,346,359.35,Desktop,Australia,New Users,0.14,15.06,0.104178016,0.139179405,6.470419822,13.91794047,7.16426513,9.59,6.918046473,1.035590778,8,2
66,Zara,Lead Generation Boost,Leads,Instagram,Text,28-11-2024,2580,9128,1644,179,Desktop,USA,Cold Audience,0.02,69.38,3.537984496,0.180105171,33.77238419,18.01051709,5.54893617,1.76,50.99441341,0.10881459,48,11
67,Marks & Spencer,New Product Launch,Awareness,Google,Video,24-06-2024,25451,8102,1438,257.42,Desktop,USA,Lookalike Audience,0.03,10.11,0.318337197,0.17748704,23.93925068,17.74870402,5.630298819,6.29,31.47385596,0.178888117,26,6
68,Uniqlo,End of Season Sale,Leads,Pinterest,Carousel,06-12-2024,60607,8622,1019,369.97,Desktop,Germany,High Intent,0.04,6.1,0.142260795,0.118186036,18.90001973,11.81860357,8.452941176,2.46,23.30459226,0.362715686,49,12
69,Gap,New Product Launch,Engagement,Google,Video,03-10-2024,4616,7026,1948,514.39,Mobile,UK,High Intent,0.07,111.44,1.522097054,0.277255907,12.01744634,27.72559066,3.604925603,2.84,13.65889695,0.26392509,40,10
70,Adidas,Flash Sale Weekend,Awareness,LinkedIn,Text,06-09-2024,99546,7951,1838,161.36,Mobile,Australia,High Intent,0.02,1.62,0.079872622,0.231165891,33.0095072,23.11658911,4.323545405,1.17,49.27491324,0.087743339,36,9
71,Nike,Summer Clearance,Leads,Facebook,Story,04-10-2024,19944,1826,937,272.08,Desktop,USA,Returning Users,0.15,13.64,0.091556358,0.513143483,6.289178205,51.3143483,1.946695096,9.56,6.711261394,0.290063966,40,10
72,Puma,Festival Discount Drive,Brand Building,Facebook,Text,06-10-2024,16753,1717,1713,210.17,Mobile,UK,High Intent,0.12,12.55,0.102489106,0.997670355,7.552564441,99.76703553,1.001750292,4.16,8.169577009,0.122619603,40,10
73,Levis,Back to School Promo,Awareness,YouTube,Story,03-11-2024,84232,947,1463,128.03,Desktop,UK,Returning Users,0.14,1.52,0.011242758,1.544878564,6.887272727,154.4878564,0.646857923,8.21,7.396703898,0.087452186,44,11
74,Sephora,Cyber Monday Deals,Remarketing,YouTube,Text,18-01-2024,4431,3403,1758,890.33,Mobile,Germany,High Intent,0.26,200.93,0.767998195,0.516602997,3.681466095,51.66029974,1.934621944,5.04,3.822178293,0.506156907,3,1
75,Loreal,Black Friday Campaign,Engagement,Google,Image,06-08-2024,78790,557,695,206.33,Mobile,Germany,Cold Audience,0.37,2.62,0.007069425,1.247755835,2.628598395,124.7755835,0.800287356,1.1,2.699558959,0.296451149,32,8
76,Maybelline,End of Season Sale,Traffic,Pinterest,Story,13-12-2024,86002,1430,1231,858.05,Tablet,Germany,Returning Users,0.6,9.98,0.01662752,0.860839161,1.639250301,86.08391608,1.160714286,7.63,1.666569547,0.696469156,50,12
77,MAC Cosmetics,Brand Awareness Push,Engagement,LinkedIn,Text,13-07-2024,20026,6456,401,222.48,Desktop,Australia,New Users,0.03,11.11,0.322380905,0.062112763,22.4916388,6.211276332,16.05970149,5.25,29.01833873,0.553432836,28,7
78,The Body Shop,App Install Drive,Remarketing,LinkedIn,Carousel,23-12-2024,81524,2448,57,395.7,Desktop,USA,Returning Users,0.16,4.85,0.030027967,0.023284314,5.826074539,2.328431373,42.20689655,1.09,6.186504928,6.822413793,52,12
79,Apple,Festival Discount Drive,Traffic,Instagram,Text,11-08-2024,9892,2182,80,440.21,Desktop,India,High Intent,0.2,44.5,0.220582289,0.036663611,4.722637058,3.666361137,26.9382716,1.41,4.956725199,5.434691358,32,8
80,Samsung,Flash Sale Weekend,Engagement,YouTube,Story,02-05-2024,55113,6668,632,524.71,Desktop,USA,Cold Audience,0.08,9.52,0.120987789,0.094781044,11.27513147,9.478104379,10.53396524,2,12.70797202,0.82892575,18,5
81,Dell,End of Season Sale,Engagement,LinkedIn,Text,02-01-2024,13591,6794,1912,199.1,Tablet,Germany,High Intent,0.03,14.65,0.499889633,0.281424787,25.44188137,28.14247866,3.551489807,5.01,34.123556,0.104077365,1,1
82,HP,Back to School Promo,Engagement,YouTube,Image,04-09-2024,35289,9621,235,493.45,Mobile,USA,Returning Users,0.05,13.98,0.272634532,0.024425735,16.31618221,2.442573537,40.76694915,9.79,19.49741615,2.090889831,36,9
83,Sony,Summer Clearance,Leads,LinkedIn,Text,09-07-2024,67204,6722,704,748.46,Tablet,Australia,New Users,0.11,11.14,0.100023808,0.104730735,8.240976854,10.47307349,9.534751773,3.31,8.981107875,1.06164539,28,7
84,Lenovo,Black Friday Campaign,Brand Building,YouTube,Carousel,19-02-2024,60348,6905,1669,915.48,Mobile,India,Lookalike Audience,0.13,15.17,0.114419699,0.241708907,7.013498827,24.17089066,4.134730539,5.2,7.542491371,0.548191617,8,2
85,Xiaomi,Lead Generation Boost,Sales,Instagram,Text,30-09-2024,70647,6698,1733,905.05,Mobile,Germany,High Intent,0.14,12.81,0.094809405,0.25873395,6.890733825,25.87339504,3.862745098,9.53,7.400696094,0.521943483,40,9
86,Vivo,Back to School Promo,Remarketing,Instagram,Text,07-04-2024,84266,2848,634,203.25,Mobile,UK,Returning Users,0.07,2.41,0.033797736,0.22261236,12.29016528,22.26123596,4.48503937,3.91,14.01230012,0.32007874,14,4
87,OnePlus,Back to School Promo,Conversions,YouTube,Carousel,18-09-2024,19817,3012,307,336.07,Tablet,Germany,Returning Users,0.11,16.96,0.151990715,0.101925631,8.225238264,10.19256308,9.779220779,6.87,8.962418544,1.091136364,38,9
88,Realme,Winter Deals,Brand Building,Instagram,Carousel,27-02-2024,44640,5273,1308,689.59,Tablet,Canada,Cold Audience,0.13,15.45,0.11812276,0.248056135,7.103405539,24.8056135,4.028265852,6.6,7.646572601,0.526806723,9,2
89,Swiggy,Lead Generation Boost,Conversions,Google,Text,18-07-2024,73255,8945,759,843.85,Tablet,Australia,New Users,0.09,11.52,0.122107706,0.084851873,9.584270867,8.485187255,11.76973684,1.16,10.60022516,1.110328947,29,7
90,Zomato,Back to School Promo,Awareness,Google,Text,10-08-2024,98258,8301,1184,308.17,Tablet,India,New Users,0.04,3.14,0.084481671,0.142633418,21.22041004,14.26334177,7.005063291,3.8,26.93643119,0.260059072,32,8
91,Uber,Summer Clearance,Engagement,LinkedIn,Text,27-06-2024,24404,9765,1737,89.57,Desktop,Australia,New Users,0.01,3.67,0.400139321,0.177880184,52.15788911,17.78801843,5.618527043,7.71,109.0208775,0.051536249,26,6
92,Ola,Flash Sale Weekend,Engagement,Instagram,Text,22-06-2024,30373,3212,320,597.04,Desktop,Germany,High Intent,0.19,19.66,0.105751819,0.099626401,5.105219658,9.9626401,10.00623053,6.75,5.379874045,1.859937695,25,6
93,Blinkit,Cyber Monday Deals,Awareness,YouTube,Video,16-08-2024,68275,8407,1156,86.9,Desktop,Canada,Returning Users,0.01,1.27,0.123134383,0.137504461,49.17236942,13.75044606,7.266205704,2.3,96.7433832,0.075108038,33,8
94,BigBasket,App Install Drive,Sales,Facebook,Story,27-08-2024,30632,9240,161,641.7,Desktop,Australia,High Intent,0.07,20.95,0.301645338,0.017424242,12.58684103,1.742424242,57.03703704,8.42,14.39925199,3.961111111,35,8
95,Spotify,Summer Clearance,Remarketing,LinkedIn,Story,14-04-2024,8938,2620,1973,269.4,Tablet,Australia,New Users,0.1,30.14,0.293130454,0.753053435,8.863328823,75.30534351,1.327254306,7.89,9.725315516,0.136474164,15,4
96,Meesho App,Flash Sale Weekend,Sales,Pinterest,Image,16-03-2024,29024,5546,1665,828.88,Desktop,Australia,Cold Audience,0.15,28.56,0.191083241,0.300216372,6.271343601,30.02163722,3.328931573,5.78,6.690956471,0.497527011,11,3
97,Paytm,Back to School Promo,Brand Building,YouTube,Text,27-12-2024,56224,1010,737,364.25,Desktop,Australia,Cold Audience,0.36,6.48,0.017963859,0.72970297,2.698009884,72.97029703,1.368563686,8.45,2.772820865,0.493563686,52,12
98,PhonePe,Summer Clearance,Sales,Facebook,Story,07-01-2024,74807,5099,1333,306.43,Tablet,Australia,Returning Users,0.06,4.1,0.06816207,0.261423809,14.26612948,26.14238086,3.822338831,9.1,16.64001566,0.229707646,1,1
99,Amazon,Diwali Mega Offers,Brand Building,YouTube,Story,20-10-2024,32113,5219,1609,772.6,Mobile,Canada,New Users,0.15,24.06,0.162519852,0.308296609,6.327671286,30.82966085,3.241614907,9.61,6.755112607,0.479875776,42,10
100,Walmart,Winter Deals,Leads,Instagram,Story,10-03-2024,9236,1916,481,712.2,Mobile,India,Returning Users,0.37,77.11,0.207449112,0.251043841,2.619776854,25.10438413,3.975103734,9.59,2.690255546,1.477593361,10,3
101,Target,Black Friday Campaign,Awareness,Instagram,Text,05-02-2024,12092,8524,366,823.42,Desktop,UK,Returning Users,0.1,68.1,0.704928879,0.042937588,9.380846521,4.293758799,23.22615804,7.87,10.35194676,2.243651226,6,2
102,eBay,End of Season Sale,Engagement,YouTube,Image,14-07-2024,42423,1744,1140,56.26,Desktop,Germany,Lookalike Audience,0.03,1.33,0.041109775,0.653669725,23.66350068,65.36697248,1.528483786,1.98,30.99893352,0.049307625,28,7
103,AliExpress,Lead Generation Boost,Traffic,Google,Story,29-03-2024,10991,1791,267,396.19,Desktop,India,New Users,0.22,36.05,0.162951506,0.149078727,4.32504226,14.9078727,6.682835821,2.53,4.520558318,1.478320896,13,3
104,Alibaba,Holiday Sale Blast,Remarketing,Google,Video,18-10-2024,50329,5119,325,977.66,Mobile,Germany,Returning Users,0.19,19.43,0.101710743,0.063488963,4.975458036,6.348896269,15.70245399,3.71,5.235971606,2.998957055,42,10
105,Etsy,Summer Clearance,App Installs,Facebook,Video,04-10-2024,68552,8636,1334,115,Mobile,UK,New Users,0.01,1.68,0.12597736,0.154469662,42.88835916,15.44696619,6.468913858,9.93,75.09565217,0.086142322,40,10
106,Shopee,Flash Sale Weekend,Sales,Instagram,Carousel,17-06-2024,74067,4034,1502,266.88,Desktop,Canada,Cold Audience,0.07,3.6,0.054464201,0.372335151,13.13065556,37.23351512,2.683965403,9.28,15.11540767,0.17756487,25,6
107,Rakuten,Spring Collection Launch,Sales,Google,Story,08-07-2024,35168,5681,649,638.81,Mobile,USA,Returning Users,0.11,18.16,0.161538899,0.114240451,8.166815215,11.42404506,8.74,1.36,8.893098104,0.982784615,28,7
108,Flipkart,Winter Deals,Engagement,LinkedIn,Text,05-09-2024,91828,2759,236,473.87,Tablet,India,High Intent,0.17,5.16,0.030045302,0.085538238,5.501934352,8.553823849,11.64135021,5.11,5.822271931,1.999451477,36,9
109,Myntra,Festival Discount Drive,Brand Building,Google,Text,10-12-2024,77251,1472,800,14.54,Mobile,Australia,New Users,0.01,0.19,0.01905477,0.543478261,50.30758715,54.34782609,1.837702871,9.68,101.2379642,0.01815231,50,12
110,Ajio,Black Friday Campaign,Engagement,LinkedIn,Video,02-11-2024,86186,4288,865,926.62,Tablet,UK,Returning Users,0.22,10.75,0.04975286,0.201725746,4.422898401,20.17257463,4.951501155,8.23,4.627571173,1.07,44,11
111,Meesho,Lead Generation Boost,Brand Building,Pinterest,Carousel,16-01-2024,85478,6428,1958,143.97,Tablet,Germany,High Intent,0.02,1.68,0.075200636,0.304604854,30.8667467,30.46048538,3.281265952,9.16,44.6481906,0.073491577,3,1
112,Nykaa,Lead Generation Boost,Engagement,Pinterest,Story,10-08-2024,57151,2902,1925,654.79,Tablet,Australia,Cold Audience,0.23,11.46,0.050777764,0.663335631,4.243868911,66.33356306,1.50674974,5.73,4.431955283,0.339974039,32,8
